Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
38,"Occupied, Dax To",Occupied,Dax To,24267,588312,Warm Up Duration,(null)
38,"Occupied, Dax To",Occupied,Dax To,24267,760177,Total Trial Length,(null)
38,"Occupied, Dax To",Occupied,Dax To,619380,44538,Demonstration Duration,(null)
38,"Occupied, Dax To",Occupied,Dax To,663918,10348,First Response Window,(null)
38,"Occupied, Dax To",Occupied,Dax To,665321,0,First Action,(null)
38,"Occupied, Dax To",Occupied,Dax To,665321,0,Hand Touch,(null)
38,"Occupied, Dax To",Occupied,Dax To,669290,0,Hand Touch,(null)
38,"Occupied, Dax To",Occupied,Dax To,673048,0,Hand Touch,(null)
38,"Occupied, Dax To",Occupied,Dax To,674234,7274,Engagement,(null)
38,"Occupied, Dax To",Occupied,Dax To,674266,68143,Exploration Duration,(null)
38,"Occupied, Dax To",Occupied,Dax To,681508,19052,Engagement,(null)
38,"Occupied, Dax To",Occupied,Dax To,688815,1635,IBA,(null)
38,"Occupied, Dax To",Occupied,Dax To,688821,0,Hand Touch,(null)
38,"Occupied, Dax To",Occupied,Dax To,698859,1701,IBA,(null)
38,"Occupied, Dax To",Occupied,Dax To,698877,0,Hand Touch,(null)
38,"Occupied, Dax To",Occupied,Dax To,705132,3003,Engagement,(null)
38,"Occupied, Dax To",Occupied,Dax To,706445,0,Hand Touch,(null)
38,"Occupied, Dax To",Occupied,Dax To,706466,1168,IBA,(null)
38,"Occupied, Dax To",Occupied,Dax To,721782,20620,Engagement,(null)
38,"Occupied, Dax To",Occupied,Dax To,722641,0,Hand Touch,(null)
38,"Occupied, Dax To",Occupied,Dax To,722682,968,IBA,(null)
