,Condition,,,,,,
,"Dax To, Exposed",,"Dax To, Occupied",,"Dax, Exposed",,"Dax, Occupied"
,,,,,,,
,,,,,,,
Boys,9/29/15,,_______.,,10/26/15,"<-- NA, but exploration",11/3/15
,10/2/15,,_______.,,10/27/15,,_______.
,10/14/15,,_______.,,_______.,,_______.
,10/14/15,,_______.,,_______.,,_______.
,10/16/15,,_______.,,_______.,,_______.
,10/17/15,,_______.,,_______.,,_______.
,,,,,,,
Girls,9/27/11,,_______.,,_______.,,10/30/15
,10/6/15,,_______.,,_______.,,_______.
,10/8/15,,_______.,,_______.,,_______.
,10/17/15,,_______.,,_______.,,_______.
,10/21/15,,_______.,,_______.,,_______.
,_______.,,_______.,,_______.,,_______.
