Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,489088,42743,Demonstration Duration,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,531831,37471,Frist Response Window,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,563162,0,First Action,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,563162,0,Hand Touch,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,569302,100926,Exploration Duration,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,577643,968,Engagement,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,60560,422989,Warm Up Duration,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,60560,713379,Total Trial Length,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,607740,4671,IBA,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,607740,6340,Engagement,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,608708,0,Hand Touch,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,624824,4137,Engagement,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,636602,4505,Engagement,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,637270,467,IBA,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,646379,10677,Engagement,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,650015,2403,IBA,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,650683,0,Head Touch,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,654520,2302,IBA,(null)
10,"Exposed, Dax To Toy",Exposed,Dax To Toy,655087,0,Head Touch,(null)
