Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
13,"Occupied, Dax",Occupied,Dax,514854,40341,Demonstration Duration,(null)
13,"Occupied, Dax",Occupied,Dax,555195,29462,First Response Window,(null)
13,"Occupied, Dax",Occupied,Dax,584657,65499,Exploration Duration,(null)
13,"Occupied, Dax",Occupied,Dax,586993,0,First Action,(null)
13,"Occupied, Dax",Occupied,Dax,586993,0,Hand Touch,(null)
13,"Occupied, Dax",Occupied,Dax,590864,0,Hand Touch,(null)
13,"Occupied, Dax",Occupied,Dax,596269,0,Hand Touch,(null)
13,"Occupied, Dax",Occupied,Dax,599505,0,Hand Touch,(null)
13,"Occupied, Dax",Occupied,Dax,610550,0,Hand Touch,(null)
13,"Occupied, Dax",Occupied,Dax,618958,0,Hand Touch,(null)
13,"Occupied, Dax",Occupied,Dax,624430,0,Hand Touch,(null)
13,"Occupied, Dax",Occupied,Dax,631137,0,Hand Touch,(null)
13,"Occupied, Dax",Occupied,Dax,6316,502299,Warm Up Duration,(null)
13,"Occupied, Dax",Occupied,Dax,6320,725418,Total Trial Length,(null)
13,"Occupied, Dax",Occupied,Dax,636075,0,Hand Touch,(null)
