Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
26,"Occupied, Dax To",Occupied,Dax To,490510,41286,Demonstration Duration,(null)
26,"Occupied, Dax To",Occupied,Dax To,531796,14655,Frist Response Window,(null)
26,"Occupied, Dax To",Occupied,Dax To,533462,0,First Action,(null)
26,"Occupied, Dax To",Occupied,Dax To,533462,0,Hand Touch,(null)
26,"Occupied, Dax To",Occupied,Dax To,535731,0,Head Touch,(null)
26,"Occupied, Dax To",Occupied,Dax To,541816,0,Hand Touch,(null)
26,"Occupied, Dax To",Occupied,Dax To,543747,0,Head Touch,(null)
26,"Occupied, Dax To",Occupied,Dax To,546451,63596,Exploration Duration,(null)
26,"Occupied, Dax To",Occupied,Dax To,553477,0,Hand Touch,(null)
26,"Occupied, Dax To",Occupied,Dax To,555723,0,Hand Touch,(null)
26,"Occupied, Dax To",Occupied,Dax To,561300,0,Hand Touch,(null)
26,"Occupied, Dax To",Occupied,Dax To,564318,0,Hand Touch,(null)
26,"Occupied, Dax To",Occupied,Dax To,565525,0,Hand Touch,(null)
26,"Occupied, Dax To",Occupied,Dax To,566926,0,Hand Touch,(null)
26,"Occupied, Dax To",Occupied,Dax To,569581,0,Hand Touch,(null)
26,"Occupied, Dax To",Occupied,Dax To,600317,0,Hand Touch,(null)
26,"Occupied, Dax To",Occupied,Dax To,7614,473649,Warm Up Duration,(null)
26,"Occupied, Dax To",Occupied,Dax To,7614,681360,Total Trial Length,(null)
