Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
41,"Exposed, Dax To",Exposed,Dax To,25085,454882,Warm Up Duration,(null)
41,"Exposed, Dax To",Exposed,Dax To,25085,682849,Total Trial Length,(null)
41,"Exposed, Dax To",Exposed,Dax To,488035,43817,Demonstration Duration,(null)
41,"Exposed, Dax To",Exposed,Dax To,531852,9759,First Response Window,(null)
41,"Exposed, Dax To",Exposed,Dax To,534851,0,First Action,(null)
41,"Exposed, Dax To",Exposed,Dax To,534851,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,535613,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,538540,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,541611,90776,Exploration Duration,(null)
41,"Exposed, Dax To",Exposed,Dax To,550441,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,555796,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,563936,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,602921,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,605968,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,608110,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,612656,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,617654,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,624747,0,Hand Touch,(null)
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
