Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
17,"Occupied, Dax",Occupied,Dax,15660,281581,Warm Up Duration,(null)
17,"Occupied, Dax",Occupied,Dax,15660,461894,Total Trial Length,(null)
17,"Occupied, Dax",Occupied,Dax,303881,38739,Demonstration Duration,(null)
17,"Occupied, Dax",Occupied,Dax,342620,15849,First Response Window,(null)
17,"Occupied, Dax",Occupied,Dax,346323,0,First Action,(null)
17,"Occupied, Dax",Occupied,Dax,346323,0,Head Touch,(null)
17,"Occupied, Dax",Occupied,Dax,347491,0,Hand Touch,(null)
17,"Occupied, Dax",Occupied,Dax,348826,0,Head Touch,(null)
17,"Occupied, Dax",Occupied,Dax,351462,0,Hand Touch,(null)
17,"Occupied, Dax",Occupied,Dax,353497,0,Head Touch,(null)
17,"Occupied, Dax",Occupied,Dax,354598,0,Hand Touch,(null)
17,"Occupied, Dax",Occupied,Dax,358469,56490,Exploration Duration,(null)
17,"Occupied, Dax",Occupied,Dax,373150,0,Hand Touch,(null)
17,"Occupied, Dax",Occupied,Dax,379523,0,Head Touch,(null)
