Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
4,"Exposed, Dax To",Exposed,Dax To,13495,716611,Total Trial Length,(null)
4,"Exposed, Dax To",Exposed,Dax To,13508,491146,Warm Up Duration,(null)
4,"Exposed, Dax To",Exposed,Dax To,514668,45865,Demonstration Duration,(null)
4,"Exposed, Dax To",Exposed,Dax To,560557,9030,First Response Window,(null)
4,"Exposed, Dax To",Exposed,Dax To,563879,0,First Action,(null)
4,"Exposed, Dax To",Exposed,Dax To,563879,0,Head Touch,(null)
4,"Exposed, Dax To",Exposed,Dax To,569587,102555,Exploration Duration,(null)
4,"Exposed, Dax To",Exposed,Dax To,583416,0,Hand Touch,(null)
4,"Exposed, Dax To",Exposed,Dax To,585113,0,Head Touch,(null)
4,"Exposed, Dax To",Exposed,Dax To,591314,0,Hand Touch,(null)
4,"Exposed, Dax To",Exposed,Dax To,603493,0,Hand Touch,(null)
4,"Exposed, Dax To",Exposed,Dax To,607775,0,Hand Touch,(null)
4,"Exposed, Dax To",Exposed,Dax To,609645,0,Hand Touch,(null)
4,"Exposed, Dax To",Exposed,Dax To,610850,0,Hand Touch,(null)
4,"Exposed, Dax To",Exposed,Dax To,621824,0,Hand Touch,(null)
4,"Exposed, Dax To",Exposed,Dax To,645126,0,Hand Touch,(null)
4,"Exposed, Dax To",Exposed,Dax To,648472,0,Hand Touch,(null)
4,"Exposed, Dax To",Exposed,Dax To,650047,0,Hand Touch,(null)
4,"Exposed, Dax To",Exposed,Dax To,660676,0,Hand Touch,(null)
