Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
8,"Exposed, Dax To",Exposed,Dax To,14208,443026,Warm Up Duration,(null)
8,"Exposed, Dax To",Exposed,Dax To,14210,638802,Total Trial Length,(null)
8,"Exposed, Dax To",Exposed,Dax To,465175,58183,Demonstration Duration,(null)
8,"Exposed, Dax To",Exposed,Dax To,523358,10301,First Response Window,(null)
8,"Exposed, Dax To",Exposed,Dax To,525844,0,First Action,(null)
8,"Exposed, Dax To",Exposed,Dax To,525844,0,Head Touch,(null)
8,"Exposed, Dax To",Exposed,Dax To,527097,0,Head Touch,(null)
8,"Exposed, Dax To",Exposed,Dax To,530041,0,Head Touch,(null)
8,"Exposed, Dax To",Exposed,Dax To,533662,61919,Exploration Duration,(null)
8,"Exposed, Dax To",Exposed,Dax To,543737,0,Hand Touch,(null)
8,"Exposed, Dax To",Exposed,Dax To,549776,0,Hand Touch,(null)
8,"Exposed, Dax To",Exposed,Dax To,565625,0,Hand Touch,(null)
8,"Exposed, Dax To",Exposed,Dax To,566693,0,Head Touch,(null)
