Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
32,"Occupied, Dax To",Occupied,Dax To,11842,364487,Warm Up Duration,(null)
32,"Occupied, Dax To",Occupied,Dax To,11842,558825,Total Trial Length,(null)
32,"Occupied, Dax To",Occupied,Dax To,385948,45151,Demonstration Duration,(null)
32,"Occupied, Dax To",Occupied,Dax To,431099,10081,First Response Window,(null)
32,"Occupied, Dax To",Occupied,Dax To,432638,0,First Action,(null)
32,"Occupied, Dax To",Occupied,Dax To,432638,0,Hand Touch,(null)
32,"Occupied, Dax To",Occupied,Dax To,439564,0,Hand Touch,(null)
32,"Occupied, Dax To",Occupied,Dax To,441180,74765,Exploration Duration,(null)
32,"Occupied, Dax To",Occupied,Dax To,448317,0,Hand Touch,(null)
32,"Occupied, Dax To",Occupied,Dax To,450549,0,Hand Touch,(null)
32,"Occupied, Dax To",Occupied,Dax To,462358,0,Hand Touch,(null)
32,"Occupied, Dax To",Occupied,Dax To,467844,0,Hand Touch,(null)
32,"Occupied, Dax To",Occupied,Dax To,471537,0,Head Touch,(null)
32,"Occupied, Dax To",Occupied,Dax To,472345,0,Hand Touch,(null)
32,"Occupied, Dax To",Occupied,Dax To,484831,0,Hand Touch,(null)
32,"Occupied, Dax To",Occupied,Dax To,509493,0,Hand Touch,(null)
